date_time,site_name,user_location_country,user_location_region,user_location_city,user_location_latitude,user_location_longitude,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,hotel_country,is_booking,hotel_id,prop_is_branded,prop_starrating,distance_band,hist_price_band,popularity_band,cnt
2015-05-08 07:43:00,EXPEDIA.COM,UNITED STATES OF AMERICA,VA,QUANTICO,39.64016275,-88.250802,925.17085,-133031848,0,0,262,2015-05-09 00:00:00,2015-05-10 00:00:00,1,0,1,324755,UNITED STATES OF AMERICA,0,31013918,1,3,M,M,M,1
2015-09-11 18:21:00,EXPEDIA.COM,UNITED STATES OF AMERICA,IL,BOURBONNAIS,41.171382,-87.849339,270.2485,-1767241408,1,0,324,2015-09-11 00:00:00,2015-09-12 00:00:00,2,0,1,187080628,UNITED STATES OF AMERICA,0,219014,1,3,VC,M,VH,1
2015-01-16 17:06:00,EXPEDIA.COM,UNITED STATES OF AMERICA,MT,BILLINGS,45.75443,-108.54942,175.2551,-1421901322,0,0,231,2015-01-18 00:00:00,2015-01-20 00:00:00,2,0,1,46034,UNITED STATES OF AMERICA,0,694027,1,3,M,M,H,1
2015-08-07 16:45:00,EXPEDIA.CA,CANADA,QC,MONTREAL,45.506877,-73.56941,4233.2116,1445851736,0,0,541,2016-06-23 00:00:00,2016-06-26 00:00:00,2,0,1,5581983,ITALY,0,119786975,0,5,M,H,H,1
2015-01-03 19:55:00,EXPEDIA.COM,UNITED STATES OF AMERICA,MI,GRAND HAVEN,43.0494615,-86.224176,2293.3227,602585739,0,0,510,2015-01-30 00:00:00,2015-02-07 00:00:00,2,0,1,18695758,COSTA RICA,0,32233520,1,4,C,M,M,1
2015-06-02 20:09:00,EXPEDIA.COM,UNITED STATES OF AMERICA,WA,LAKE STEVENS,48.011086,-122.076299,895.4477,-1289121290,0,0,262,2015-09-09 00:00:00,2015-09-14 00:00:00,3,0,1,24801518,UNITED STATES OF AMERICA,0,472470,1,4,M,L,VH,1
2015-05-09 00:48:00,EXPEDIA.CA,CANADA,NT,YELLOWKNIFE,62.449885,-114.381935,2223.2196,1623170892,0,0,541,2015-07-09 00:00:00,2015-07-19 00:00:00,2,2,1,125704,CANADA,0,60099234,1,3,C,VH,H,1
2015-10-27 19:58:00,EXPEDIA.COM,UNITED STATES OF AMERICA,NY,BAYSIDE,40.76121,-73.7633549999999,1098.1563,1764208936,0,0,262,2015-10-30 00:00:00,2015-11-01 00:00:00,2,1,1,5526989,UNITED STATES OF AMERICA,0,29949688,1,5,M,VH,H,1
2015-09-03 10:29:00,EXPEDIA.COM,UNITED STATES OF AMERICA,FL,NORTH PORT,39.64016275,-88.250802,925.17085,1049214450,0,0,262,2015-09-05 00:00:00,2015-09-09 00:00:00,2,0,1,5527640,UNITED STATES OF AMERICA,0,709806,1,3,F,L,H,1
2015-03-22 14:49:00,EXPEDIA.COM,UNITED STATES OF AMERICA,FL,BELLEVIEW,39.64016275,-88.250802,925.17085,-210418182,0,0,510,2015-04-13 00:00:00,2015-04-15 00:00:00,2,0,1,187815483,UNITED STATES OF AMERICA,0,85110034,0,2,VF,L,H,1
2015-04-08 09:32:00,EXPEDIA.COM,GREECE,A1,ATHENS,39.64016275,-88.250802,925.17085,-2079804498,0,0,293,2015-05-13 00:00:00,2015-05-18 00:00:00,2,0,1,187956440,TURKEY,0,95071450,0,2,VC,VL,M,1
2015-07-02 00:22:00,EXPEDIA.COM,UNITED ARAB EMIRATES,DU,DUBAI,39.64016275,-88.250802,925.17085,-1423741153,0,0,541,2015-07-02 00:00:00,2015-07-04 00:00:00,1,0,1,190482878,LEBANON,0,157655242,1,5,C,M,H,1
2015-03-02 00:16:00,EXPEDIA.CA,CANADA,AB,EDMONTON,53.5385525,-113.4986095,2375.7551,84721441,0,0,510,2015-03-09 00:00:00,2015-03-10 00:00:00,3,0,1,5527237,UNITED STATES OF AMERICA,0,167461,1,4,M,M,VH,1
2015-12-05 21:20:00,EXPEDIA.COM,UNITED STATES OF AMERICA,FL,FT LAUDERDALE,26.176243,-80.227383,23.3129,823641539,0,0,541,2015-12-15 00:00:00,2015-12-16 00:00:00,2,0,1,24802324,UNITED STATES OF AMERICA,0,36907142,0,5,C,H,VH,1
2015-11-19 08:25:00,EXPEDIA.COM,UNITED STATES OF AMERICA,FL,VERO BEACH,27.638727,-80.3891095,283.6946,712172727,0,0,541,2015-11-19 00:00:00,2015-11-20 00:00:00,2,0,1,115257,UNITED STATES OF AMERICA,0,30599231,1,3,C,M,VH,1
2015-11-27 12:39:00,EXPEDIA.COM,UNITED STATES OF AMERICA,MN,ST PAUL,39.64016275,-88.250802,925.17085,-1750468610,0,0,231,2015-12-13 00:00:00,2015-12-18 00:00:00,2,0,1,5526679,UNITED STATES OF AMERICA,0,1279710,0,4,M,L,H,1
2015-09-07 13:19:00,EXPEDIA.CA,CANADA,ON,HAMILTON,43.2448,-79.87526,37.6675,2128406623,0,0,324,2015-09-07 00:00:00,2015-09-08 00:00:00,2,0,2,5527857,CANADA,0,127385292,1,5,VC,VH,H,1
